Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2019-09-04,7719.25,0.0,0.0,0.0,0.0
2019-09-03,7609.51,0.0,0.0,0.0,0.0
2019-08-30,7691.0,0.0,0.0,0.0,0.0
2019-08-29,7702.31,0.0,0.0,0.0,0.0
2019-08-28,7587.9,0.0,0.0,0.0,0.0
2019-08-27,7566.03,0.0,0.0,0.0,0.0
2019-08-26,7575.02,0.0,0.0,0.0,0.0
2019-08-23,7464.99,0.0,0.0,0.0,0.0
2019-08-22,7707.43,0.0,0.0,0.0,0.0
2019-08-21,7733.22,0.0,0.0,0.0,0.0
2019-08-20,7664.47,0.0,0.0,0.0,0.0
2019-08-19,7719.32,0.0,0.0,0.0,0.0
2019-08-16,7604.11,0.0,0.0,0.0,0.0
2019-08-15,7484.89,0.0,0.0,0.0,0.0
2019-08-14,7490.13,0.0,0.0,0.0,0.0
2019-08-13,7728.15,0.0,0.0,0.0,0.0
2019-08-12,7561.68,0.0,0.0,0.0,0.0
2019-08-09,7646.27,0.0,0.0,0.0,0.0
2019-08-08,7724.83,0.0,0.0,0.0,0.0
2019-08-07,7551.9,0.0,0.0,0.0,0.0
2019-08-06,7521.32,0.0,0.0,0.0,0.0
2019-08-05,7415.69,0.0,0.0,0.0,0.0
2019-08-02,7692.8,0.0,0.0,0.0,0.0
2019-08-01,7801.15,0.0,0.0,0.0,0.0
2019-07-31,7848.78,0.0,0.0,0.0,0.0
2019-07-30,7952.47,0.0,0.0,0.0,0.0
2019-07-29,7989.08,0.0,0.0,0.0,0.0
2019-07-26,8016.95,0.0,0.0,0.0,0.0
2019-07-25,7929.87,0.0,0.0,0.0,0.0
2019-07-24,8010.6,0.0,0.0,0.0,0.0
2019-07-23,7954.56,0.0,0.0,0.0,0.0
2019-07-22,7905.12,0.0,0.0,0.0,0.0
2019-07-19,7834.9,0.0,0.0,0.0,0.0
2019-07-18,7904.13,0.0,0.0,0.0,0.0
2019-07-17,7888.76,0.0,0.0,0.0,0.0
2019-07-16,7927.08,0.0,0.0,0.0,0.0
2019-07-15,7966.93,0.0,0.0,0.0,0.0
2019-07-12,7943.24,0.0,0.0,0.0,0.0
2019-07-11,7896.78,0.0,0.0,0.0,0.0
2019-07-10,7903.4,0.0,0.0,0.0,0.0
2019-07-09,7826.86,0.0,0.0,0.0,0.0
2019-07-08,7785.79,0.0,0.0,0.0,0.0
2019-07-05,7841.3,0.0,0.0,0.0,0.0
2019-07-03,7857.69,0.0,0.0,0.0,0.0
2019-07-02,7799.82,0.0,0.0,0.0,0.0
2019-07-01,7768.14,0.0,0.0,0.0,0.0
2019-06-28,7671.07,0.0,0.0,0.0,0.0
2019-06-27,7657.05,0.0,0.0,0.0,0.0
2019-06-26,7627.05,0.0,0.0,0.0,0.0
2019-06-25,7591.54,0.0,0.0,0.0,0.0
2019-06-24,7723.02,0.0,0.0,0.0,0.0
2019-06-21,7728.78,0.0,0.0,0.0,0.0
2019-06-20,7738.05,0.0,0.0,0.0,0.0
2019-06-19,7667.74,0.0,0.0,0.0,0.0
2019-06-18,7635.4,0.0,0.0,0.0,0.0
2019-06-17,7526.52,0.0,0.0,0.0,0.0
2019-06-14,7479.11,0.0,0.0,0.0,0.0
2019-06-13,7510.68,0.0,0.0,0.0,0.0
2019-06-12,7472.29,0.0,0.0,0.0,0.0
2019-06-11,7513.85,0.0,0.0,0.0,0.0
2019-06-10,7501.93,0.0,0.0,0.0,0.0
2019-06-07,7417.29,0.0,0.0,0.0,0.0
2019-06-06,7275.93,0.0,0.0,0.0,0.0
2019-06-05,7220.9,0.0,0.0,0.0,0.0
2019-06-04,7166.75,0.0,0.0,0.0,0.0
2019-06-03,6978.02,0.0,0.0,0.0,0.0
2019-05-31,7127.96,0.0,0.0,0.0,0.0
2019-05-30,7245.4,0.0,0.0,0.0,0.0
2019-05-29,7216.86,0.0,0.0,0.0,0.0
2019-05-28,7278.38,0.0,0.0,0.0,0.0
2019-05-24,7300.96,0.0,0.0,0.0,0.0
2019-05-23,7307.93,0.0,0.0,0.0,0.0
